2013-06-15,8:00 AM,Cedar Ridge,,Baker,,Lakeview Centre
2013-06-15,9:00 AM,Thornton Dundee,,Brookside,,Lakeview Centre
2013-06-15,10:00 AM,Mackenzie,,Kedron 1,,Lakeview Centre
2013-06-15,11:00 AM,Kedron 2,,Kedron 3,,Lakeview Centre
2013-06-15,1:00 PM,Kedron 1,,Kedron 2,,Lakeview Centre
2013-06-15,2:00 PM,Brookside,,Mackenzie,,Lakeview Centre
2013-06-15,3:00 PM,Cedar Ridge,,Thornton Dundee,,Lakeview Centre
2013-06-15,4:00 PM,Baker,,Kedron 3,,Lakeview Centre
2013-06-16,8:00 AM,Thornton Dundee,,Baker,,Lakeview Centre
2013-06-16,9:00 AM,Mackenzie,,Cedar Ridge,,Lakeview Centre
2013-06-16,10:00 AM,Kedron 2,,Brookside,,Lakeview Centre
2013-06-16,11:00 AM,Kedron 3,,Kedron 1,,Lakeview Centre
2013-06-16,1:00 PM,1st Place,,2nd Place,,Lakeview Centre
