2013-06-15,8:00 AM,Mackenzie,,Thornton Dundee,, Lakeview Southeast
2013-06-15,9:00 AM,North Oshawa,,Brookside,, Lakeview Southeast
2013-06-15,10:00 AM,Kedron 1,,Cedar Ridge,, Lakeview Southeast
2013-06-15,11:00 AM,Kedron 2,,Kedron 3,, Lakeview Southeast
2013-06-15,12:00 PM,Baker,,Kedron 4,, Lakeview Southeast
2013-06-15,2:00 PM,Cedar Ridge,,Kedron 2,, Lakeview Southeast
2013-06-15,3:00 PM,Brookside,,Kedron 1,, Lakeview Southeast
2013-06-15,4:00 PM,Thornton Dundee,,North Oshawa,, Lakeview Southeast
2013-06-15,5:00 PM,Baker,,Mackenzie,, Lakeview Southeast
2013-06-15,5:00 PM,Kedron 4,,Kedron 3,, Lakeview West
2013-06-16,8:00 AM,North Oshawa,,Baker,, Lakeview Southeast
2013-06-16,9:00 AM,Kedron 1,,Thornton Dundee,, Lakeview Southeast
2013-06-16,10:00 AM,Kedron 2,,Brookside,, Lakeview Southeast
2013-06-16,11:00 AM,Kedron 3,,Cedar Ridge,, Lakeview Southeast
2013-06-16,11:00 AM,Mackenzie,,Kedron 4,, Lakeview Southwest
2013-06-16,1:30 PM,1st Place,,2nd Place,,LAKEVIEW WEST
