2013-05-20,6:30 PM,Harman Cordova,,Kedron 1,,Southmead mini
2013-05-20,6:30 PM,Thornton Dundee,,Glen Stewart,,MacKenzie
2013-05-20,6:30 PM,Lake Vista,,Kedron 2,,Hyde
2013-05-20,6:30 PM,Brookside,,"""bye""",,
2013-05-27,6:30 PM,Kedron 1,,Thornton Dundee,,Hyde
2013-05-27,6:30 PM,Brookside,,Harman Cordova,,MacKenzie
2013-05-27,6:30 PM,Glen Stewart,,Lake Vista,,Southmead mini
2013-05-27,6:30 PM,Kedron 2,,"""bye""",,
2013-06-03,6:30 PM,Thornton Dundee,,Brookside,,MacKenzie
2013-06-03,6:30 PM,Lake Vista,,Kedron 1,,Hyde
2013-06-03,6:30 PM,Kedron 2,,Glen Stewart,,Southmead mini
2013-06-03,6:30 PM,Harman Cordova,,"""bye""",,
2013-06-10,6:30 PM,Kedron 1,,Kedron 2,,Southmead mini
2013-06-10,6:30 PM,Brookside,,Lake Vista,,Hyde
2013-06-10,6:30 PM,Harman Cordova,,Thornton Dundee,,MacKenzie
2013-06-10,6:30 PM,Glen Stewart,,"""bye""",,
2013-06-17,6:30 PM,Lake Vista,,Harman Cordova,,MacKenzie
2013-06-17,6:30 PM,Kedron 2,,Brookside,,Hyde
2013-06-17,6:30 PM,Glen Stewart,,Kedron 1,,Southmead mini
2013-06-17,6:30 PM,Thornton Dundee,,"""bye""",,
2013-06-24,6:30 PM,Brookside,,Glen Stewart,,MacKenzie
2013-06-24,6:30 PM,Harman Cordova,,Kedron 2,,Southmead mini
2013-06-24,6:30 PM,Thornton Dundee,,Lake Vista,,Hyde
2013-06-24,6:30 PM,Kedron 1,,"""bye""",,
2013-07-08,6:30 PM,Brookside,,Kedron 1,,MacKenzie
2013-07-08,6:30 PM,Thornton Dundee,,Kedron 2,,Hyde
2013-07-08,6:30 PM,Harman Cordova,,Glen Stewart,,Southmead mini
2013-07-08,6:30 PM,Lake Vista,,"""bye""",,
2013-07-15,6:30 PM,Kedron 1,,Harman Cordova,,MacKenzie
2013-07-15,6:30 PM,Glen Stewart,,Thornton Dundee,,Southmead mini
2013-07-15,6:30 PM,Kedron 2,,Lake Vista,,Hyde
2013-07-15,6:30 PM,Brookside,,"""bye""",,
2013-07-22,6:30 PM,Thornton Dundee,,Kedron 1,,Southmead mini
2013-07-22,6:30 PM,Harman Cordova,,Brookside,,MacKenzie
2013-07-22,6:30 PM,Lake Vista,,Glen Stewart,,Hyde
2013-07-22,6:30 PM,Kedron 2,,"""bye""",,
2013-07-29,6:30 PM,Brookside,,Thornton Dundee,,MacKenzie
2013-07-29,6:30 PM,Kedron 1,,Lake Vista,,Southmead mini
2013-07-29,6:30 PM,Glen Stewart,,Kedron 2,,Hyde
2013-07-29,6:30 PM,Harman Cordova,,"""bye""",,
2013-08-05,6:30 PM,Kedron 2,,Kedron 1,,Hyde
2013-08-05,6:30 PM,Lake Vista,,Brookside,,Southmead mini
2013-08-05,6:30 PM,Thornton Dundee,,Harman Cordova,,MacKenzie
2013-08-05,6:30 PM,Glen Stewart,,"""bye""",,
2013-08-12,6:30 PM,Harman Cordova,,Lake Vista,,MacKenzie
2013-08-12,6:30 PM,Brookside,,Kedron 2,,Southmead mini
2013-08-12,6:30 PM,Kedron 1,,Glen Stewart,,Hyde
2013-08-12,6:30 PM,Thornton Dundee,,"""bye""",,
2013-08-19,6:30 PM,Glen Stewart,,Brookside,,MacKenzie
2013-08-19,6:30 PM,Kedron 2,,Harman Cordova,,Hyde
2013-08-19,6:30 PM,Lake Vista,,Thornton Dundee,,Southmead mini
2013-08-19,6:30 PM,Kedron 1,,"""bye""",,
2013-08-26,6:30 PM,Brookside,,Kedron 1,,MacKenzie
2013-08-26,6:30 PM,Thornton Dundee,,Kedron 2,,Southmead mini
2013-08-26,6:30 PM,Harman Cordova,,Glen Stewart,,Hyde
2013-08-26,6:30 PM,Lake Vista,,"""bye""",,
